"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"09/01/2017 00:00:00 - 09/01/2017 01:00:00","BZN|DK1","Without Sequence","29.56","",""
"09/01/2017 01:00:00 - 09/01/2017 02:00:00","BZN|DK1","Without Sequence","29.11","",""
"09/01/2017 02:00:00 - 09/01/2017 03:00:00","BZN|DK1","Without Sequence","28.99","",""
"09/01/2017 03:00:00 - 09/01/2017 04:00:00","BZN|DK1","Without Sequence","29.16","",""
"09/01/2017 04:00:00 - 09/01/2017 05:00:00","BZN|DK1","Without Sequence","29.71","",""
"09/01/2017 05:00:00 - 09/01/2017 06:00:00","BZN|DK1","Without Sequence","30.41","",""
"09/01/2017 06:00:00 - 09/01/2017 07:00:00","BZN|DK1","Without Sequence","30.77","",""
"09/01/2017 07:00:00 - 09/01/2017 08:00:00","BZN|DK1","Without Sequence","31.66","",""
"09/01/2017 08:00:00 - 09/01/2017 09:00:00","BZN|DK1","Without Sequence","32.03","",""
"09/01/2017 09:00:00 - 09/01/2017 10:00:00","BZN|DK1","Without Sequence","31.83","",""
"09/01/2017 10:00:00 - 09/01/2017 11:00:00","BZN|DK1","Without Sequence","31.58","",""
"09/01/2017 11:00:00 - 09/01/2017 12:00:00","BZN|DK1","Without Sequence","31.35","",""
"09/01/2017 12:00:00 - 09/01/2017 13:00:00","BZN|DK1","Without Sequence","31.10","",""
"09/01/2017 13:00:00 - 09/01/2017 14:00:00","BZN|DK1","Without Sequence","30.99","",""
"09/01/2017 14:00:00 - 09/01/2017 15:00:00","BZN|DK1","Without Sequence","30.95","",""
"09/01/2017 15:00:00 - 09/01/2017 16:00:00","BZN|DK1","Without Sequence","30.99","",""
"09/01/2017 16:00:00 - 09/01/2017 17:00:00","BZN|DK1","Without Sequence","31.02","",""
"09/01/2017 17:00:00 - 09/01/2017 18:00:00","BZN|DK1","Without Sequence","30.97","",""
"09/01/2017 18:00:00 - 09/01/2017 19:00:00","BZN|DK1","Without Sequence","30.90","",""
"09/01/2017 19:00:00 - 09/01/2017 20:00:00","BZN|DK1","Without Sequence","30.79","",""
"09/01/2017 20:00:00 - 09/01/2017 21:00:00","BZN|DK1","Without Sequence","30.50","",""
"09/01/2017 21:00:00 - 09/01/2017 22:00:00","BZN|DK1","Without Sequence","30.07","",""
"09/01/2017 22:00:00 - 09/01/2017 23:00:00","BZN|DK1","Without Sequence","29.57","",""
"09/01/2017 23:00:00 - 10/01/2017 00:00:00","BZN|DK1","Without Sequence","28.83","",""
"10/01/2017 00:00:00 - 10/01/2017 01:00:00","BZN|DK1","Without Sequence","26.16","",""
"10/01/2017 01:00:00 - 10/01/2017 02:00:00","BZN|DK1","Without Sequence","25.57","",""
"10/01/2017 02:00:00 - 10/01/2017 03:00:00","BZN|DK1","Without Sequence","25.49","",""
"10/01/2017 03:00:00 - 10/01/2017 04:00:00","BZN|DK1","Without Sequence","25.57","",""
"10/01/2017 04:00:00 - 10/01/2017 05:00:00","BZN|DK1","Without Sequence","27.77","",""
"10/01/2017 05:00:00 - 10/01/2017 06:00:00","BZN|DK1","Without Sequence","28.93","",""
"10/01/2017 06:00:00 - 10/01/2017 07:00:00","BZN|DK1","Without Sequence","29.79","",""
