"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"10/01/2016 20:00:00 - 10/01/2016 21:00:00","BZN|DK1","Without Sequence","23.79","",""
"10/01/2016 21:00:00 - 10/01/2016 22:00:00","BZN|DK1","Without Sequence","23.04","",""
"10/01/2016 22:00:00 - 10/01/2016 23:00:00","BZN|DK1","Without Sequence","22.34","",""
"10/01/2016 23:00:00 - 11/01/2016 00:00:00","BZN|DK1","Without Sequence","21.69","",""
"11/01/2016 00:00:00 - 11/01/2016 01:00:00","BZN|DK1","Without Sequence","21.37","",""
"11/01/2016 01:00:00 - 11/01/2016 02:00:00","BZN|DK1","Without Sequence","20.04","",""
"11/01/2016 02:00:00 - 11/01/2016 03:00:00","BZN|DK1","Without Sequence","19.78","",""
"11/01/2016 03:00:00 - 11/01/2016 04:00:00","BZN|DK1","Without Sequence","19.36","",""
"11/01/2016 04:00:00 - 11/01/2016 05:00:00","BZN|DK1","Without Sequence","19.56","",""
"11/01/2016 05:00:00 - 11/01/2016 06:00:00","BZN|DK1","Without Sequence","21.67","",""
"11/01/2016 06:00:00 - 11/01/2016 07:00:00","BZN|DK1","Without Sequence","24.24","",""
"11/01/2016 07:00:00 - 11/01/2016 08:00:00","BZN|DK1","Without Sequence","40.28","",""
"11/01/2016 08:00:00 - 11/01/2016 09:00:00","BZN|DK1","Without Sequence","45.93","",""
"11/01/2016 09:00:00 - 11/01/2016 10:00:00","BZN|DK1","Without Sequence","44.00","",""
"11/01/2016 10:00:00 - 11/01/2016 11:00:00","BZN|DK1","Without Sequence","41.94","",""
"11/01/2016 11:00:00 - 11/01/2016 12:00:00","BZN|DK1","Without Sequence","40.62","",""
"11/01/2016 12:00:00 - 11/01/2016 13:00:00","BZN|DK1","Without Sequence","41.31","",""
"11/01/2016 13:00:00 - 11/01/2016 14:00:00","BZN|DK1","Without Sequence","41.09","",""
"11/01/2016 14:00:00 - 11/01/2016 15:00:00","BZN|DK1","Without Sequence","38.60","",""
"11/01/2016 15:00:00 - 11/01/2016 16:00:00","BZN|DK1","Without Sequence","37.50","",""
"11/01/2016 16:00:00 - 11/01/2016 17:00:00","BZN|DK1","Without Sequence","37.95","",""
"11/01/2016 17:00:00 - 11/01/2016 18:00:00","BZN|DK1","Without Sequence","44.69","",""
"11/01/2016 18:00:00 - 11/01/2016 19:00:00","BZN|DK1","Without Sequence","42.88","",""
"11/01/2016 19:00:00 - 11/01/2016 20:00:00","BZN|DK1","Without Sequence","38.72","",""
"11/01/2016 20:00:00 - 11/01/2016 21:00:00","BZN|DK1","Without Sequence","27.87","",""
"11/01/2016 21:00:00 - 11/01/2016 22:00:00","BZN|DK1","Without Sequence","25.45","",""
"11/01/2016 22:00:00 - 11/01/2016 23:00:00","BZN|DK1","Without Sequence","23.05","",""
"11/01/2016 23:00:00 - 12/01/2016 00:00:00","BZN|DK1","Without Sequence","21.68","",""
"12/01/2016 00:00:00 - 12/01/2016 01:00:00","BZN|DK1","Without Sequence","21.11","",""
"12/01/2016 01:00:00 - 12/01/2016 02:00:00","BZN|DK1","Without Sequence","19.81","",""
"12/01/2016 02:00:00 - 12/01/2016 03:00:00","BZN|DK1","Without Sequence","19.10","",""
