"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"08/01/2015 05:00:00 - 08/01/2015 06:00:00","BZN|DK1","Without Sequence","19.04","",""
"08/01/2015 06:00:00 - 08/01/2015 07:00:00","BZN|DK1","Without Sequence","26.17","",""
"08/01/2015 07:00:00 - 08/01/2015 08:00:00","BZN|DK1","Without Sequence","29.41","",""
"08/01/2015 08:00:00 - 08/01/2015 09:00:00","BZN|DK1","Without Sequence","28.10","",""
"08/01/2015 09:00:00 - 08/01/2015 10:00:00","BZN|DK1","Without Sequence","28.23","",""
"08/01/2015 10:00:00 - 08/01/2015 11:00:00","BZN|DK1","Without Sequence","28.35","",""
"08/01/2015 11:00:00 - 08/01/2015 12:00:00","BZN|DK1","Without Sequence","28.46","",""
"08/01/2015 12:00:00 - 08/01/2015 13:00:00","BZN|DK1","Without Sequence","28.46","",""
"08/01/2015 13:00:00 - 08/01/2015 14:00:00","BZN|DK1","Without Sequence","28.60","",""
"08/01/2015 14:00:00 - 08/01/2015 15:00:00","BZN|DK1","Without Sequence","28.45","",""
"08/01/2015 15:00:00 - 08/01/2015 16:00:00","BZN|DK1","Without Sequence","28.24","",""
"08/01/2015 16:00:00 - 08/01/2015 17:00:00","BZN|DK1","Without Sequence","28.43","",""
"08/01/2015 17:00:00 - 08/01/2015 18:00:00","BZN|DK1","Without Sequence","28.40","",""
"08/01/2015 18:00:00 - 08/01/2015 19:00:00","BZN|DK1","Without Sequence","27.98","",""
"08/01/2015 19:00:00 - 08/01/2015 20:00:00","BZN|DK1","Without Sequence","27.69","",""
"08/01/2015 20:00:00 - 08/01/2015 21:00:00","BZN|DK1","Without Sequence","27.46","",""
"08/01/2015 21:00:00 - 08/01/2015 22:00:00","BZN|DK1","Without Sequence","27.31","",""
"08/01/2015 22:00:00 - 08/01/2015 23:00:00","BZN|DK1","Without Sequence","26.71","",""
"08/01/2015 23:00:00 - 09/01/2015 00:00:00","BZN|DK1","Without Sequence","15.93","",""
"09/01/2015 00:00:00 - 09/01/2015 01:00:00","BZN|DK1","Without Sequence","11.55","",""
"09/01/2015 01:00:00 - 09/01/2015 02:00:00","BZN|DK1","Without Sequence","13.47","",""
"09/01/2015 02:00:00 - 09/01/2015 03:00:00","BZN|DK1","Without Sequence","11.23","",""
"09/01/2015 03:00:00 - 09/01/2015 04:00:00","BZN|DK1","Without Sequence","16.00","",""
"09/01/2015 04:00:00 - 09/01/2015 05:00:00","BZN|DK1","Without Sequence","16.26","",""
"09/01/2015 05:00:00 - 09/01/2015 06:00:00","BZN|DK1","Without Sequence","19.94","",""
"09/01/2015 06:00:00 - 09/01/2015 07:00:00","BZN|DK1","Without Sequence","24.36","",""
"09/01/2015 07:00:00 - 09/01/2015 08:00:00","BZN|DK1","Without Sequence","29.24","",""
"09/01/2015 08:00:00 - 09/01/2015 09:00:00","BZN|DK1","Without Sequence","27.45","",""
"09/01/2015 09:00:00 - 09/01/2015 10:00:00","BZN|DK1","Without Sequence","27.38","",""
"09/01/2015 10:00:00 - 09/01/2015 11:00:00","BZN|DK1","Without Sequence","27.33","",""
